State/UTs,2009-10 - Rural,2009-10 - Urban,2009-10 - Rural+Urban,2011-12 - Rural,2011-12 - Urban,2011-12 - Rural+Urban
Andhra Pradesh,1.2,3.1,1.6,1.2,4.3,2
Arunachal Pradesh,1.3,3.4,1.6,1.7,4.8,2.2
Assam,3.9,5.2,4,4.5,5.6,4.6
Bihar,2,7.3,2.6,3.2,5.6,3.4
Chhattisgarh,6,2.9,0.9,0.8,4.3,1.4
Delhi,1.7,2.6,2.6,7.8,3.5,3.8
Goa,4.7,4.1,4.6,5.1,4.6,4.9
Gujarat,0.8,1.8,1.1,0.3,0.8,0.5
Haryana,1.8,2.5,2,2.4,4.2,2.9
Himachal Pradesh,1.6,4.9,1.8,1,4,1.3
Jammu & Kashmir,2.5,6,3.2,2.5,7,3.4
Jharkhand,3.9,6.3,4.3,2.1,5.1,2.6
Karnataka,0.5,2.7,1.2,0.9,2.9,1.6
Kerala,7.5,7.3,7.4,6.8,6.1,6.6
Madhya Pradesh,0.7,2.9,1.1,0.4,2.6,0.9
Maharashtra,0.6,3.2,1.5,0.7,2.3,1.3
Manipur,3.8,4.8,4,2.6,7.1,3.7
Meghalaya,0.4,5.1,1,0.4,2.8,0.8
Mizoram,1.3,2.8,1.9,1.8,5,3.2
Nagaland,10.6,9.2,10.3,15.1,23.8,17.7
Orissa,3,4.2,3.1,2.2,3.5,2.4
Punjab,2.6,4.8,3.3,1.9,2.8,2.2
Rajasthan,0.4,2.2,0.7,0.7,3.1,1.2
Sikkim,4.3,0,3.9,1,2.3,1.2
Tamil Nadu,1.5,3.2,2.2,2,2.7,2.3
Tripura,9.2,17.1,10.4,10.5,25.2,12.8
Uttarakhand,1.6,2.9,1.9,2.5,5.3,3.1
Uttar Pradesh,1,2.9,1.4,0.9,4.1,1.6
West Bengal,1.9,4,2.4,2.7,4.8,3.3
Andaman & Nicobar Islands,8,8.4,8.2,5.4,8.6,6.5
Chandigarh,24.7,3.4,8,0,6.4,6
Dadra & Nagar Haveli,4.8,5.3,5,0,0,0
Daman & Diu,4,2.4,5,0,0.5,0.1
Lakshadweep,9.7,5.7,7.9,16,11.5,13.8
Puducherry,3,3.1,3.1,0.8,2.9,2.1
All-India,1.6,3.4,2,1.7,3.4,2.2
